date,oil_price,celebrate,transactions,sales,onpromotion
2013-01-01,94.75666666666669,True,770.0,1.4094382710437712,0.0
2013-01-02,93.14,False,2026.4130434782608,278.39080692704823,0.0
2013-01-03,92.97,False,1706.608695652174,202.84019703928172,0.0
2013-01-04,93.12,False,1706.391304347826,198.91115437300786,0.0
2013-01-05,94.75666666666667,False,2034.195652173913,267.87324423625137,0.0
2013-01-06,94.75666666666667,False,1966.608695652174,291.6360275465769,0.0
2013-01-07,93.2,False,1643.4130434782608,188.62110048597083,0.0
2013-01-08,93.21,False,1572.2826086956522,178.6463400566779,0.0
2013-01-09,93.08,False,1564.5869565217392,169.7703754309764,0.0
2013-01-10,93.81,False,1443.108695652174,145.33221270987653,0.0
2013-01-11,93.6,False,1529.0869565217392,162.59129353787878,0.0
2013-01-12,94.75666666666666,False,1858.9347826086957,226.2952929351852,0.0
2013-01-13,94.75666666666666,False,1876.2173913043478,260.7399259248036,0.0
2013-01-14,94.27,False,1523.4347826086957,164.61748713692478,0.0
2013-01-15,93.26,False,1546.391304347826,167.86170031088665,0.0
2013-01-16,94.28,False,1575.4565217391305,178.64641635578005,0.0
2013-01-17,95.49,False,1497.2391304347825,150.11140065965208,0.0
2013-01-18,95.61,False,1551.5434782608695,166.17892818630753,0.0
2013-01-19,94.75666666666666,False,1925.1739130434783,242.6822963080808,0.0
2013-01-20,94.75666666666667,False,1853.9347826086957,258.74993605331093,0.0
2013-01-21,94.75666666666666,False,1592.391304347826,174.64156338383836,0.0
2013-01-22,96.09,False,1499.7391304347825,166.2259983069585,0.0
2013-01-23,95.06,False,1517.804347826087,158.95536084876542,0.0
2013-01-24,95.35,False,1384.891304347826,138.74617900953984,0.0
2013-01-25,95.15,False,1549.4130434782608,162.75127493265992,0.0
2013-01-26,94.75666666666666,False,1913.5217391304348,232.21086867300787,0.0
2013-01-27,94.75666666666666,False,1810.9565217391305,241.53310394668912,0.0
2013-01-28,95.95,False,1530.195652173913,160.1908922295174,0.0
2013-01-29,97.62,False,1487.7173913043478,148.42245683305273,0.0
2013-01-30,97.98,False,1541.0434782608695,157.72229351964086,0.0
2013-01-31,97.65,False,1527.5652173913043,152.21897755106622,0.0
2013-02-01,97.46,False,1702.2173913043478,207.2963273097643,0.0
